SEX,DESIGNATION,AGE,SALARY,LEAVES USED,LEAVES REMAINING,RATINGS,PAST EXP,nb_months,yearsMonths,UNIT_Finance,UNIT_IT,UNIT_Management,UNIT_Marketing,UNIT_Operations,UNIT_Web,nb_months_log,yearsMonths_log,PAST EXP grouped,LEAVES REMAINING Z,LEAVES USED Z,DESIGNATION M
0,0,3.044522437723423,10.641942650800615,29,1,5,0.0,12,1.0,0,0,0,0,1,0,2.4849066497880004,0.0,0,-1.3978696162155004,1.3978696162155004,0
0,0,3.1780538303479458,10.783570627440774,29,1,3,2.0,13,1.0833333333333333,0,0,0,1,0,0,2.5649493574615367,0.08004270767353636,1,-1.3978696162155004,1.3978696162155004,0
0,1,3.258096538021482,10.862799458960477,25,5,5,4.0,12,1.0,0,0,0,0,0,1,2.4849066497880004,0.0,2,-0.5327112571451391,0.5327112571451391,1
0,0,3.2188758248682006,10.616094164252292,25,5,5,2.0,19,1.5833333333333335,0,1,0,0,0,0,2.9444389791664403,0.45953232937844024,1,-0.5327112571451391,0.5327112571451391,0
1,1,3.332204510175204,11.005145199390197,24,6,5,1.0,47,3.9166666666666665,0,0,0,1,0,0,3.8501476017100584,1.3652409519220583,1,-0.31642166737754884,0.31642166737754884,1
1,0,3.1780538303479458,10.774236837439904,15,15,4,0.0,34,2.8333333333333335,0,0,1,0,0,0,3.5263605246161616,1.0414538748281612,0,1.6301846405307638,-1.6301846405307638,0
1,2,3.4011973816621555,11.433340985627385,23,7,2,4.0,40,3.3333333333333335,0,1,0,0,0,0,3.6888794541139363,1.2039728043259361,2,-0.10013207760995856,0.10013207760995856,2
1,0,3.091042453358316,10.673341112178944,28,2,2,0.0,28,2.3333333333333335,1,0,0,0,0,0,3.332204510175204,0.8472978603872037,0,-1.18158002644791,1.18158002644791,0
0,0,3.044522437723423,10.813075873350607,27,3,4,0.0,34,2.8333333333333335,0,1,0,0,0,0,3.5263605246161616,1.0414538748281612,0,-0.9652904366803198,0.9652904366803198,0
1,0,3.044522437723423,10.80018763464528,25,5,2,0.0,25,2.0833333333333335,0,0,1,0,0,0,3.2188758248682006,0.7339691750802005,0,-0.5327112571451391,0.5327112571451391,0
0,0,3.1780538303479458,10.818877879167118,18,12,4,2.0,12,1.0,0,1,0,0,0,0,2.4849066497880004,0.0,1,0.9813158712279929,-0.9813158712279929,0
0,0,3.091042453358316,10.791111284394898,28,2,3,0.0,27,2.25,0,0,0,0,1,0,3.295836866004329,0.8109302162163288,0,-1.18158002644791,1.18158002644791,0
1,1,3.2188758248682006,10.981437844756142,28,2,5,2.0,14,1.1666666666666667,1,0,0,0,0,0,2.6390573296152584,0.15415067982725836,1,-1.18158002644791,1.18158002644791,1
1,0,3.1780538303479458,10.659210391578554,26,4,5,2.0,17,1.4166666666666667,0,0,1,0,0,0,2.833213344056216,0.3483066942682158,1,-0.7490008469127294,0.7490008469127294,0
1,1,3.295836866004329,11.000047737078107,15,15,3,0.0,44,3.6666666666666665,0,0,0,1,0,0,3.784189633918261,1.2992829841302609,0,1.6301846405307638,-1.6301846405307638,1
0,0,3.091042453358316,10.68070010821374,20,10,4,0.0,17,1.4166666666666667,0,0,1,0,0,0,2.833213344056216,0.3483066942682158,0,0.5487366916928124,-0.5487366916928124,0
1,0,3.1354942159291497,10.80559822083645,20,10,3,0.0,24,2.0,0,0,0,0,0,1,3.1780538303479458,0.6931471805599453,0,0.5487366916928124,-0.5487366916928124,0
1,0,3.091042453358316,10.72608280028296,25,5,4,0.0,14,1.1666666666666667,0,0,0,0,1,0,2.6390573296152584,0.15415067982725836,0,-0.5327112571451391,0.5327112571451391,0
0,0,3.2188758248682006,10.673040064298478,30,0,4,2.0,20,1.6666666666666665,0,0,0,1,0,0,2.995732273553991,0.5108256237659906,1,-1.6141592059830907,1.6141592059830907,0
0,2,3.332204510175204,11.446026827614784,25,5,3,3.0,33,2.75,0,0,1,0,0,0,3.4965075614664802,1.0116009116784799,1,-0.5327112571451391,0.5327112571451391,2
1,0,3.044522437723423,10.68732060086809,15,15,5,0.0,23,1.9166666666666665,0,1,0,0,0,0,3.1354942159291497,0.6505875661411493,0,1.6301846405307638,-1.6301846405307638,0
0,0,3.044522437723423,10.607178946971745,29,1,4,0.0,19,1.5833333333333335,0,1,0,0,0,0,2.9444389791664403,0.45953232937844024,0,-1.3978696162155004,1.3978696162155004,0
1,2,3.4011973816621555,11.489493057987106,26,4,4,4.0,21,1.75,0,0,1,0,0,0,3.044522437723423,0.5596157879354227,2,-0.7490008469127294,0.7490008469127294,2
